frame_number,track_id,class_name,speed_kph,pixel_distance_per_frame
615,205,car,33.5,4.47
615,215,car,69.06,9.22
615,231,car,127.57,17.03
615,151,bus,7.49,1.0
616,164,car,10.59,1.41
616,193,car,31.78,4.24
616,205,car,31.78,4.24
616,215,car,64.44,8.6
616,231,car,122.86,16.4
616,151,bus,7.49,1.0
617,164,car,10.59,1.41
617,193,car,10.59,1.41
617,205,car,33.5,4.47
617,215,car,52.97,7.07
617,231,car,108.04,14.42
617,151,bus,0.0,0.0
618,164,car,7.49,1.0
618,193,car,21.19,2.83
618,205,car,23.69,3.16
618,215,car,43.68,5.83
618,231,car,112.36,15.0
618,151,truck,0.0,0.0
619,164,car,7.49,1.0
619,193,car,7.49,1.0
619,205,car,23.69,3.16
619,215,car,58.51,7.81
619,231,car,93.86,12.53
619,151,truck,0.0,0.0
620,164,car,14.98,2.0
620,193,car,21.19,2.83
620,205,car,27.01,3.61
620,215,car,54.02,7.21
620,231,car,91.44,12.21
620,151,truck,7.49,1.0
621,164,car,7.49,1.0
621,193,car,7.49,1.0
621,205,car,16.75,2.24
621,215,car,52.97,7.07
621,231,car,90.2,12.04
621,151,truck,7.49,1.0
622,164,car,0.0,0.0
622,193,car,7.49,1.0
622,205,car,23.69,3.16
622,215,car,54.02,7.21
622,231,car,87.36,11.66
622,151,truck,7.49,1.0
623,164,car,0.0,0.0
623,193,car,21.19,2.83
623,205,car,14.98,2.0
623,215,car,42.37,5.66
623,231,car,64.44,8.6
623,151,truck,7.49,1.0
624,164,car,16.75,2.24
624,193,car,22.47,3.0
624,205,car,27.01,3.61
624,215,car,30.89,4.12
624,231,car,77.12,10.3
624,151,bus,10.59,1.41
625,164,car,0.0,0.0
625,193,car,7.49,1.0
625,205,car,0.0,0.0
625,215,car,47.97,6.4
625,231,car,67.0,8.94
625,151,bus,10.59,1.41
626,164,car,0.0,0.0
626,193,car,0.0,0.0
626,205,car,14.98,2.0
626,215,car,31.78,4.24
626,231,car,58.51,7.81
626,151,bus,7.49,1.0
627,164,car,10.59,1.41
627,193,car,14.98,2.0
627,205,car,47.38,6.32
627,215,car,47.97,6.4
627,231,car,58.51,7.81
627,151,truck,10.59,1.41
628,164,car,14.98,2.0
628,193,car,10.59,1.41
628,205,car,27.01,3.61
628,215,car,37.45,5.0
628,231,car,37.45,5.0
628,151,bus,0.0,0.0
629,164,car,16.75,2.24
629,193,car,16.75,2.24
629,205,car,16.75,2.24
629,215,car,27.01,3.61
629,231,car,57.05,7.62
629,151,bus,7.49,1.0
630,164,car,7.49,1.0
630,193,car,14.98,2.0
630,205,car,16.75,2.24
630,215,car,37.45,5.0
630,231,car,52.97,7.07
630,151,truck,7.49,1.0
631,164,car,0.0,0.0
631,193,car,10.59,1.41
631,205,car,14.98,2.0
631,215,car,21.19,2.83
631,231,car,33.5,4.47
631,151,truck,7.49,1.0
632,164,car,7.49,1.0
632,193,car,10.59,1.41
632,205,car,7.49,1.0
632,215,car,47.97,6.4
632,231,car,40.34,5.39
632,151,truck,7.49,1.0
633,164,car,16.75,2.24
633,193,car,10.59,1.41
633,205,car,16.75,2.24
633,215,car,21.19,2.83
633,231,car,29.96,4.0
633,151,truck,10.59,1.41
634,164,car,7.49,1.0
634,193,car,7.49,1.0
634,205,car,10.59,1.41
634,215,car,27.01,3.61
634,231,car,54.02,7.21
634,151,truck,7.49,1.0
635,164,car,10.59,1.41
635,193,car,10.59,1.41
635,205,car,30.89,4.12
635,215,car,27.01,3.61
635,231,car,47.97,6.4
635,151,truck,0.0,0.0
636,164,truck,16.75,2.24
636,205,car,7.49,1.0
636,215,car,27.01,3.61
636,231,car,40.34,5.39
636,151,truck,7.49,1.0
637,164,car,7.49,1.0
637,205,car,7.49,1.0
637,215,car,27.01,3.61
637,231,car,16.75,2.24
637,151,truck,0.0,0.0
637,193,car,22.47,3.0
638,164,truck,7.49,1.0
638,205,car,0.0,0.0
638,215,car,33.5,4.47
638,231,car,47.97,6.4
638,151,truck,7.49,1.0
639,205,car,23.69,3.16
639,215,car,27.01,3.61
639,231,car,31.78,4.24
639,151,truck,7.49,1.0
640,205,car,23.69,3.16
640,215,car,16.75,2.24
640,231,car,30.89,4.12
640,151,truck,10.59,1.41
641,205,car,0.0,0.0
641,215,car,27.01,3.61
641,231,car,33.5,4.47
641,151,truck,0.0,0.0
642,205,car,14.98,2.0
642,215,car,16.75,2.24
642,231,car,33.5,4.47
642,151,truck,0.0,0.0
643,205,car,10.59,1.41
643,231,car,21.19,2.83
643,151,truck,14.98,2.0
644,205,car,23.69,3.16
644,231,car,16.75,2.24
644,151,truck,14.98,2.0
644,268,car,134.0,17.89
645,205,car,16.75,2.24
645,231,car,27.01,3.61
645,151,truck,7.49,1.0
645,268,car,139.94,18.68
645,215,car,64.44,8.6
646,205,car,0.0,0.0
646,231,car,27.01,3.61
646,151,truck,0.0,0.0
646,268,car,251.81,33.62
646,215,car,16.75,2.24
647,205,car,30.89,4.12
647,231,car,16.75,2.24
